Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length
SRR18888497	49.0	100	0.0	150386318.0	34.11690391918303	99.98522700715367
SRR18888498	51.0	100	10.0	152459290.0	38.455548091746024	99.99673995595808
SRR18888499	49.0	100	0.0	132886846.0	27.436937066980008	99.99679664306278
SRR18888500	50.0	100	10.0	139960986.0	36.61140632340235	99.9966175145408
SRR18888501	49.0	100	0.0	127180756.0	28.189486791128132	99.9965209516446
SRR18888502	49.0	100	0.0	130081066.0	25.769399963945673	99.9726394001107
SRR18888503	49.0	100	0.0	139279714.0	25.036931572770982	99.97527496358875
SRR18888504	48.0	100	0.0	121411356.0	27.110636357269442	99.99547284522545
SRR18888505	49.0	100	0.0	135684818.0	27.086831504941927	99.9792717561076
SRR18888506	49.0	100	0.0	150559252.0	27.863894078205604	99.99700928376026
