Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-avg_sequence_length
SRR18888497	34.11690391918303	49.0	100	150386318.0	0.0	99.90746962765589
SRR18888498	38.455548091746024	51.0	100	152459290.0	10.0	99.97217688735137
SRR18888499	27.436937066980008	49.0	100	132886846.0	0.0	99.90171669812977
SRR18888500	36.61140632340235	50.0	100	139960986.0	10.0	99.90157147078115
SRR18888501	28.189486791128132	49.0	100	127180756.0	0.0	99.89674000679788
SRR18888502	25.769399963945673	49.0	100	130081066.0	0.0	99.88531928236198
SRR18888503	25.036931572770982	49.0	100	139279714.0	0.0	99.88134962712516
SRR18888504	27.110636357269442	48.0	100	121411356.0	0.0	99.89563060312085
SRR18888505	27.086831504941927	49.0	100	135684818.0	0.0	99.8901663264935
SRR18888506	27.863894078205604	49.0	100	150559252.0	0.0	99.90474976589283
